DATE,sp500 return,sp500 return trend,sp500 velocity,sp500 acceleration,Quarter
1975-03-31,-0.005843769,0.0028865313833333333,-4.79810527777777e-05,-0.00012078946944444442,1975Q1
1975-06-30,0.004008016,-3.265391666666667e-05,-2.5889886111111132e-05,3.714946527777778e-05,1975Q2
1975-09-30,-0.013642244,-2.090192777777779e-05,-6.398619722222219e-05,2.1042986111111102e-05,1975Q3
1975-12-31,0.004678623,0.0011198616255555555,3.645495000000011e-05,3.1364783333333345e-05,1975Q4
1976-03-31,0.00745025,5.645654888888885e-05,-3.5457572222222266e-05,7.776888888888888e-06,1976Q1
1976-06-30,0.004043905,0.00021742837111111106,5.34747583333333e-05,-3.546016805555553e-05,1976Q2
1976-09-30,-0.001233748,1.1686311111111058e-05,0.00010084996666666669,-2.5615677222222248e-05,1976Q3
1976-12-31,0.005426647,9.003278555555556e-05,-7.612785000000002e-05,-6.191836388888888e-05,1976Q4
1977-03-31,-0.00121778,-0.0005696912122222222,7.611660277777782e-05,5.2570930555555375e-06,1977Q1
1977-06-30,0.003695934,1.9433132222222065e-05,-1.3152261111111112e-05,-5.0007533333333305e-05,1977Q2
1977-09-30,0.007094418,-0.0004707901777777778,-3.147082499999998e-05,-9.916645833333331e-05,1977Q3
1977-12-30,0.001685275,-0.0005288141833333334,-4.399326111111107e-05,-1.7265927777777813e-05,1977Q4
1978-03-31,-0.002236886,0.001172921588888889,0.0001514307972222224,-4.4561527777785053e-07,1978Q1
1978-06-30,-0.000418541,0.00088228907,9.935401666666676e-05,-5.849000000000018e-06,1978Q2
1978-09-29,0.005688505,-0.0003097292866666669,1.9422886111111087e-05,-1.6426856944444423e-05,1978Q3
1978-12-29,-0.001765683,0.00010668679999999999,0.00010295526666666665,4.113958194444441e-05,1978Q4
1979-03-30,-0.004312457,-5.856389444444459e-05,3.2317002777777746e-05,3.4448916666667207e-06,1979Q1
1979-06-29,0.001070039,0.0006619462055555555,-9.066192500000006e-05,-5.625368055555557e-06,1979Q2
1979-09-28,-0.008075492,0.00034175639444444436,-4.029181666666669e-05,8.232361388888892e-05,1979Q3
1979-12-31,0.0009273,0.0012662811611111112,-0.0001322830777777779,-9.636355833333331e-05,1979Q4
1980-03-31,0.014004768,-0.00014429513333333343,7.120759166666671e-05,3.114831388888895e-05,1980Q1
1980-06-30,-0.015172414,0.0019885134999999996,5.147365277777781e-05,-4.905379444444428e-05,1980Q2
1980-09-30,0.015541525,0.0013909055788888889,-9.353586111111119e-05,-0.00012249346388888883,1980Q3
1980-12-31,0.003177418,6.833125555555532e-05,8.274918055555555e-05,2.7540822222222278e-05,1980Q4
1981-03-31,0.012809056,0.00010010454555555538,2.9158244444444484e-05,1.2405519444444442e-05,1981Q1
1981-06-30,-0.005155812,-0.00100818433,-3.946850833333335e-05,4.851033333333379e-06,1981Q2
1981-09-30,0.002070036,-0.00035551142222222244,1.4342991666666622e-05,8.047044305555559e-05,1981Q3
1981-12-31,0.002044154,-0.0009711124333333333,-0.00012326219722222235,5.106455138888892e-05,1981Q4
1982-03-31,-0.002761201,-0.0003852599433333333,-8.05394944444444e-05,-5.354588055555556e-05,1982Q1
1982-06-30,-0.005444152,0.00011516030888888897,0.00018311118333333334,0.00011054925138888891,1982Q2
1982-09-30,-0.009948204,0.0028384396533333335,0.00016846008805555574,4.204118944444444e-05,1982Q3
1982-12-31,0.002209079,0.0015257873644444443,-6.264153611111123e-05,-4.048040416666657e-05,1982Q4
1983-03-31,-0.002803312,0.0017064229477777777,-9.408090555555564e-05,-0.00012444377222222216,1983Q1
1983-06-30,0.008821411,0.00023882023444444437,6.076747222222181e-06,3.658043055555561e-05,1983Q2
1983-09-30,-0.006936554,-2.075539777777777e-05,0.00015981374444444443,2.332957222222218e-05,1983Q3
1983-12-30,0.000424603,-0.0005843936777777776,-7.370779444444437e-05,1.985798055555549e-05,1983Q4
1984-03-30,-0.002131394,-0.0007037765966666667,6.339875555555561e-05,-1.6236519444444365e-05,1984Q1
1984-06-29,0.002224549,0.0004679089011111111,-0.00012946805555555567,3.153595972222224e-05,1984Q2
1984-09-28,-0.005150934,0.0010136269522222222,-0.00010803440555555552,1.0691995833333285e-05,1984Q3
1984-12-31,0.005894382,0.0009654850833333334,-1.8324388888888874e-05,6.483220833333335e-06,1984Q4
1985-03-29,0.006238164,0.0007849134000000001,-8.713972222222904e-07,1.872180277777779e-05,1985Q1
1985-06-28,0.003242169,0.0003420657277777777,-5.6136391666666716e-05,4.057090972222222e-05,1985Q2
1985-09-30,0.004302261,0.000497208248888889,5.782617500000003e-05,0.00010822784027777782,1985Q3
1985-12-31,0.002847921,0.002012473361111111,5.8492391666666705e-05,3.209972222222219e-06,1985Q4
1986-03-31,-0.000292924,0.0020922091500000005,-5.240039999999989e-05,-5.735466944444456e-05,1986Q1
1986-06-30,0.004967949,0.000364965078888889,9.736772222222165e-06,7.609722638888888e-05,1986Q2
1986-09-30,0.006132835,0.0007643453722222225,0.00013111424444444444,-4.597640555555559e-05,1986Q3
1986-12-31,-0.004930764,0.0022351776588888893,-7.341794444444593e-06,-6.004556805555572e-05,1986Q4
1987-03-31,0.008644537,0.0010221388000000002,6.95367416666667e-05,-9.982809861111113e-05,1987Q1
1987-06-30,-0.01266645,0.001542858211111111,-5.7636347222222344e-05,-5.5682933333333295e-05,1987Q2
1987-09-30,0.000435202,-0.0029057787188888884,-0.0002666088722222224,-3.460873055555528e-05,1987Q3
1987-12-31,-0.003146938,0.0018096571555555564,0.00011114636666666698,-0.0002736966833333335,1987Q4
1988-03-31,0.003177432,0.000802078351111111,-6.002283333333427e-06,-5.1911079166666656e-05,1988Q1
1988-06-30,0.009299579,-5.631926666666671e-05,0.00010951589722222227,9.927552083333332e-05,1988Q2
1988-09-30,-0.002494589,0.0004113196377777776,-2.5258816666666673e-05,-4.647326805555556e-05,1988Q3
1988-12-30,-0.006012885,0.0005066047944444446,7.806546944444441e-05,-1.0803415277777794e-05,1988Q4
1989-03-31,0.008033639,0.0012966935511111112,-8.584475277777779e-05,-1.2243009722222211e-05,1989Q1
1989-06-30,-0.005317818,0.0015382673344444446,-7.664730555555547e-05,-5.619116666666672e-05,1989Q2
1989-09-29,0.00157774,0.00040355668999999986,-6.559776388888897e-05,-4.715613333333338e-05,1989Q3
1989-12-29,0.007785097,-0.0002025696844444444,0.0001123548527777778,3.9278512500000004e-05,1989Q4
1990-03-30,-0.002494205,0.0012711848944444444,9.221968333333343e-05,-6.0662934722222213e-05,1990Q1
1990-06-29,0.001090513,-0.0002715152466666667,5.671650555555559e-05,2.0076731944444442e-05,1990Q2
1990-09-28,0.016878759,-0.0010083067555555554,0.00013010141666666664,1.3256047222222128e-05,1990Q3
1990-12-31,0.004563154,0.002162591288888889,0.0001355000527777778,-3.4327041666665898e-06,1990Q4
1991-03-28,-0.000346343,0.001895293988888889,-5.44337861111111e-05,-0.00011927579861111112,1991Q1
1991-06-28,-0.008653846,0.0004011848900000002,-2.3456374999999898e-05,2.1039091666666634e-05,1991Q2
1991-09-30,0.005079036,4.0778164444444384e-05,8.141333333330043e-08,-7.194764583333331e-05,1991Q3
1991-12-31,0.004697211,0.0006875831788888888,-8.146412499999999e-05,-5.477252638888888e-05,1991Q4
1992-03-31,0.001712159,-1.271622333333329e-05,-5.749208611111081e-06,1.5016185833333347e-05,1992Q1
1992-06-30,-0.001956277,0.00023889283444444425,5.985509444444452e-05,-3.967820555555551e-05,1992Q2
1992-09-30,0.002399232,0.0004211982216666667,-0.00010324617777777778,-7.004236111111161e-06,1992Q3
1992-12-31,-0.007087188,0.0008368670066666666,5.5062736111111176e-05,2.8836216666666697e-05,1992Q4
1993-03-31,-0.000663761,0.00030428693111111125,-6.525222500000001e-05,2.1082017499999997e-05,1993Q1
1993-06-30,-0.000355011,0.0006679237711111111,-5.956822777777773e-05,-4.34680097222222e-05,1993Q2
1993-09-30,-0.002564604,0.00040655772777777776,3.721786388888887e-05,-8.9657472222222e-06,1993Q3
1993-12-31,-0.004673097,4.6166283333333186e-05,7.230286111111091e-06,-2.3174356944444453e-05,1993Q4
1994-03-31,0.000493772,-0.00029926532777777774,-6.594748611111112e-05,-4.615031388888886e-05,1994Q1
1994-06-30,-0.007506199,0.0004898299966666667,-3.820567777777773e-05,5.7277079166666685e-05,1994Q2
1994-09-30,0.00097352,1.808705722222215e-05,-1.4121531111111087e-05,-6.0090211111111125e-05,1994Q3
1994-12-30,-0.004098361,0.0005270714922222223,-6.980991388888893e-05,-4.701483069444442e-05,1994Q4
1995-03-31,-0.00300665,0.0015142189877777777,-2.9109831666666668e-05,-2.5308172222222197e-05,1995Q1
1995-06-30,0.001618034,0.0011151863344444444,4.813026666666679e-05,-1.1055852777777696e-05,1995Q2
1995-09-29,-0.00249202,0.0008981793222222222,5.983553055555554e-05,4.860703888888895e-05,1995Q3
1995-12-29,0.002947307,0.0012606573833333335,0.00011316408055555552,-2.724757916666671e-05,1995Q4
1996-03-29,-0.005300952,0.0009208377033333333,3.200331388888885e-05,2.9170529166666696e-05,1996Q1
1996-06-28,0.003111211,5.91868366666668e-05,-1.539143888888887e-05,2.694625138888891e-05,1996Q2
1996-09-30,0.001632201,0.0019294229722222225,-0.00011416608333333347,1.6595062499999912e-05,1996Q3
1996-12-31,-0.017390728,0.0014931870622222224,8.220976388888886e-05,-6.008181944444483e-06,1996Q4
1997-03-31,-0.021657104,0.0009247249833333336,4.424971666666677e-05,4.550753333333325e-05,1997Q1
1997-06-30,-0.002434351,0.002152906577777778,0.00012063973055555536,-0.00015007351527777772,1997Q2
1997-09-30,-0.006356599,0.0005244837222222224,1.0816402777777791e-05,-4.5495590277777826e-05,1997Q3
1997-12-31,-0.000422315,0.001727812816666667,0.00033490257499999997,-0.0001920878777777779,1997Q4
1998-03-31,0.007498514,0.0014592367055555556,6.811099722222236e-05,4.3515277777786063e-07,1998Q1
1998-06-30,-0.004084357,-0.0010217338333333333,0.00020284876666666667,-9.867524166666677e-05,1998Q2
1998-09-30,-0.030514194,0.0003650786500000003,3.366245000000002e-05,8.029758611111114e-05,1998Q3
1998-12-31,-0.002191683,0.0020885564666666668,4.319864999999994e-05,-5.718398888888889e-05,1998Q4
1999-03-31,-0.01105516,0.0006869232277777776,6.272951666666673e-05,-1.0274950000000002e-05,1999Q1
1999-06-30,0.015731252,-0.0002445857222222221,5.9232069444444435e-05,9.176632361111116e-05,1999Q2
1999-09-30,0.011305849,0.0005231142555555555,0.00010688937222222227,1.9565688888888893e-05,1999Q3
1999-12-31,0.003263979,0.0007753390511111112,-0.00029189200555555556,-8.690857638888894e-05,1999Q4
2000-03-31,0.007164364,0.0006157063477777779,8.044557777777788e-05,4.5414643055555497e-05,2000Q1
2000-06-30,0.008465117,0.00044015978888888865,-3.202217777777781e-05,-1.3544180555555578e-05,2000Q2
2000-09-29,-0.014935301,-0.0009841826666666666,0.0002590684805555556,0.00012450627638888886,2000Q3
2000-12-29,-0.010448052,-0.0009453666777777776,0.00019814491944444455,-7.492262638888892e-05,2000Q4
2001-03-30,0.010784442,-0.0006111288611111113,8.198026388888904e-05,-1.9427238888888897e-05,2001Q1
2001-06-29,-0.001451639,-0.0008726087888888888,-0.00010694654444444446,-3.18958944444445e-05,2001Q2
2001-09-28,0.021922031,-0.0006529428147777777,3.596313333333333e-05,0.0001322651597222223,2001Q3
2001-12-31,-0.011145372,0.000726777904111111,-5.7154041666666606e-05,6.1410222222221984e-06,2001Q4
2002-03-28,0.002455049,-0.0006441354144444449,-0.00016473066916666666,-3.555202333333315e-05,2002Q1
2002-06-28,-0.000837842,-0.0020035128933333334,-0.00012055474722222229,5.611474513888881e-05,2002Q2
2002-09-30,-0.014612568,0.0012263624388888885,-0.0003251973805555557,-0.00010933244166666655,2002Q3
2002-12-31,0.000488975,-0.0007492157244444446,-8.193750833333324e-05,-6.808095972222228e-05,2002Q4
2003-03-31,-0.017741749,0.001342908216666667,0.000286923575,3.03039958333333e-05,2003Q1
2003-06-30,-0.001761898,0.001416426081111111,0.00011671683333333333,-0.00011535203055555547,2003Q2
2003-09-30,-0.010540643,0.0007632536422222222,-2.2047508333333354e-05,5.6965902777777794e-05,2003Q3
2003-12-31,0.00205472,0.001265081121111111,-9.877105000000001e-05,-9.819741388888891e-05,2003Q4
2004-03-31,-0.000700976,-0.0002664530677777778,0.00011149028611111115,0.00012400129305555557,2004Q1
2004-06-30,0.004083788,-0.00023239651666666648,7.161853888888888e-05,2.1360601388888882e-05,2004Q2
2004-09-30,-0.000197345,0.00095503742,-4.391905277777771e-05,-2.533915416666661e-05,2004Q3
2004-12-31,-0.001343167,0.00100871327,-0.00016561661666666667,-1.461625416666662e-05,2004Q4
2005-03-31,-0.000694086,0.0003455376385555556,-5.592575555555553e-05,-4.678344722222226e-05,2005Q1
2005-06-30,-0.007100888,0.0006324629222222225,5.567880277777777e-05,2.414886111111106e-05,2005Q2
2005-09-30,0.000920435,0.00022896469666666664,-3.1210924999999984e-05,1.3901073611111104e-05,2005Q3
2005-12-30,-0.004886721,0.00076621282,5.218113055555562e-05,3.4336527777777744e-05,2005Q4
2006-03-31,-0.004168429,-2.0296383333333456e-05,-0.00012967130277777774,7.1588055555555985e-06,2006Q1
2006-06-30,-0.002097622,6.877909144444442e-05,-3.072733888888896e-05,-4.405657916666662e-05,2006Q2
2006-09-29,-0.00246425,0.0011550341965555558,4.277778611111102e-05,-8.04836944444452e-06,2006Q3
2006-12-29,-0.004513136,0.00015646525844444434,5.721111111111233e-07,-1.8228708333333112e-06,2006Q4
2007-03-30,-0.001173965,0.0007975032722222223,-6.841977777777796e-06,-2.5945618055555556e-05,2007Q1
2007-06-29,-0.001567367,-4.329136888888872e-05,3.3883797222222225e-05,-1.2505491666666659e-05,2007Q2
2007-09-28,-0.003023417,-9.122949666666674e-05,0.00013181006944444444,-3.66392083333334e-06,2007Q3
2007-12-31,-0.006851585,-0.0014476059777777778,-0.00015722205555555565,-9.25943486111111e-05,2007Q4
2008-03-31,0.005687261,0.00038012593333333313,-0.00013361751666666666,0.00011711452777777781,2008Q1
2008-06-30,0.001267229,-0.0009022434422222223,-0.00015684701388888895,-1.628934305555554e-05,2008Q2
2008-09-30,0.05420331,-0.0033839874111111115,0.00019992825000000034,-0.0001262180930555548,2008Q3
2008-12-31,0.014158358,-0.0021116128499999993,9.717101944444416e-05,-0.00012669039722222229,2008Q4
2009-03-31,0.013129659,0.0015573196777777778,-5.74896750000001e-05,-5.605633194444439e-05,2009Q1
2009-06-30,-0.008530785,0.001704893005555555,-3.9208724999999917e-05,0.00015265079722222242,2009Q2
2009-09-30,-0.003328273,0.0013767640366666664,-1.1525575000000165e-05,2.839147222222292e-06,2009Q3
2009-12-31,-0.010049537,0.0008009698311111113,0.00012680573055555557,-2.724447638888892e-05,2009Q4
2010-03-31,-0.003272904,-2.7972452222222203e-05,-0.00022046224166666665,-8.458708750000002e-05,2010Q1
2010-06-30,-0.010112942,-0.000977960983333333,0.0002930077277777779,-9.968224861111116e-05,2010Q2
2010-09-30,-0.003083697,0.0011257392033333334,9.938548055555565e-05,-4.441693888888892e-05,2010Q3
2010-12-31,-0.000190797,0.0012026165222222222,3.44154311111111e-05,3.950207777777908e-06,2010Q4
2011-03-31,-0.001829461,2.721417999999992e-05,-0.0001198894416666667,4.766650138888893e-05,2011Q1
2011-06-30,0.010119243,-0.0012828834999999996,-0.00026362834166666666,5.491974999999994e-05,2011Q2
2011-09-30,-0.024974147,-0.00022276719444444472,0.00015185017499999998,-2.9261845833333268e-05,2011Q3
2011-12-30,-0.004283384,0.0010449829644444445,-7.519528611111127e-05,-5.321120694444444e-05,2011Q4
2012-03-30,0.003698478,-0.0003138952166666666,0.00010840735277777775,0.00012839046111111108,2012Q1
2012-06-29,0.024920243,0.0001230377587777778,-7.709047500000004e-05,6.385591805555554e-05,2012Q2
2012-09-28,-0.004477767,0.0005062153022222223,-0.00013078384722222227,-4.117677222222226e-05,2012Q3
2012-12-31,0.016942022,0.0009248041867777779,0.00011314520555555558,-1.6723097222222198e-05,2012Q4
2013-03-28,0.004056691,0.0010334856145555555,-4.27660744722223e-05,9.643475527777734e-06,2013Q1
2013-06-28,-0.004289611,0.00040231785555555583,1.954828611111116e-05,3.9943148611111095e-05,2013Q2
2013-09-30,-0.00602926,0.0007026083533333334,-3.023669166666665e-05,1.0662543055555562e-05,2013Q3
2013-12-31,0.003959654,0.0007681206044444445,-3.068374444444445e-05,-2.2005486944444392e-05,2013Q4
2014-03-31,0.007924118,0.0007205934322222223,0.00018179510277777772,5.717655555555532e-06,2014Q1
2014-06-30,-0.000372267,0.0007626149522222221,2.1119647222222267e-05,-1.427419166666658e-05,2014Q2
2014-09-30,-0.002785924,0.0005310921946666668,5.986859444444444e-05,-9.463294861111168e-06,2014Q3
2014-12-31,-0.010310765,0.0006498731411111112,-0.00010898806388888899,-6.626508333333354e-06,2014Q4
2015-03-31,-0.008795728,0.00029564703000000005,-7.836394444444335e-06,4.4419293055555486e-05,2015Q1
2015-06-30,0.002658385,-0.0009443068466666667,3.176372222222216e-05,8.279142361111114e-05,2015Q2
2015-09-30,0.019075522,-1.2233441111111345e-05,-0.0001264808611111111,1.1741025972222211e-05,2015Q3
2015-12-31,-0.009411833,-0.0003623528399999999,-5.9337330555555656e-05,-1.5057373611111166e-05,2015Q4
2016-03-31,-0.002039778,0.00121678916,3.0903888888905717e-07,1.3209038888888883e-05,2016Q1
2016-06-30,0.013565002,0.0004533134055555555,4.2782554166666655e-05,4.685282777777775e-05,2016Q2
2016-09-30,0.007967905,0.0001710028399999999,3.2792855555555594e-05,2.588769999999996e-05,2016Q3
2016-12-30,-0.004637081,0.001119966338888889,9.953608333333297e-06,2.806726527777772e-05,2016Q4
2017-03-31,-0.00225501,0.0006453149233333333,-3.0267777777777892e-05,4.512580833333337e-05,2017Q1
2017-06-30,0.001533248,0.00037308094333333346,-2.415957777777782e-05,5.008822222222196e-06,2017Q2
2017-09-29,0.003705091,0.0007221391644444445,-1.3512111111111064e-05,-6.716751388888888e-06,2017Q3
2017-12-29,-0.005183179,0.0007306211388888892,3.492061944444444e-05,-1.8834375000000361e-06,2017Q4
2018-03-29,0.013769674,-0.0003198010577777778,5.2372336111111104e-05,-7.607072222222259e-06,2018Q1
2018-06-29,0.000758382,0.0010006764277777779,-8.276801388888894e-05,-1.2282325000000018e-05,2018Q2
2018-09-28,-6.86342e-06,-0.0002169985491111111,3.412663888888932e-06,-5.35591611111111e-05,2018Q3
2018-12-31,0.008492441,0.00033512553444444435,6.585695555555578e-05,-1.4810809722222163e-05,2018Q4
2019-03-29,0.006734294,0.0005720055177777777,9.671782777777774e-05,3.0976433333333324e-05,2019Q1
2019-06-28,0.005757422,4.395938888888755e-06,-1.130267222222223e-05,2.0467559722222258e-05,2019Q2
2019-09-30,0.005047623,0.00036143367111111073,-6.5223425e-05,4.915963611111117e-05,2019Q3
2019-12-31,0.002946025,3.169544444444575e-06,-0.0004434631583333335,-0.00011186655416666677,2019Q4
2020-03-31,-0.016012792,1.6073616666666712e-05,0.00017659232500000008,-1.0037920833333195e-05,2020Q1
2020-06-30,0.01540986,0.002504833011111111,-9.714707777777761e-05,-0.00011116975972222214,2020Q2
2020-09-30,0.008253709,0.001484216677777778,6.951066666666811e-06,-1.6143373611111054e-05,2020Q3
2020-12-31,0.006438838,0.0014442395944444446,0.00024696954999999996,5.357477083333328e-05,2020Q4
2021-03-31,0.003622539,0.0010324162722222224,0.00010634025555555557,6.973364027777767e-05,2021Q1
2021-06-30,0.001328114,0.0008975225333333334,1.4319450000000041e-05,8.446531944444338e-06,2021Q2
2021-09-30,-0.011909732,0.0004159515133333332,2.7519633333333198e-05,2.4369679166666696e-05,2021Q3
2021-12-31,-0.002626221,-0.0008922671977777776,-5.509269444444441e-05,0.0001400760208333333,2021Q4
2022-03-31,-0.015652533,-0.0004982976611111111,5.555555277777786e-05,-1.7548927777777742e-05,2022Q1
2022-06-30,-0.008759227,-0.0006538544888888888,7.201361388888905e-05,-4.6266425000000084e-05,2022Q2
2022-09-30,-0.015066736,8.407567222222181e-05,-0.00032225849444444466,-1.6981816666666616e-05,2022Q3
2022-12-30,-0.002540735,0.0004887498944444444,-7.323700555555545e-05,1.4616606944444367e-05,2022Q4
2023-03-31,0.014436548,0.000686143145555556,-7.065720833333334e-05,-7.025663888888899e-06,2023Q1
2023-06-30,0.012269018,0.0011751190677777778,-2.6760211111111144e-05,-0.00013515469027777782,2023Q2
